,Links
0,/wiki/Volkswagen_Group
1,/wiki/Germany
2,/wiki/Toyota_Group
3,/wiki/Japan
4,/wiki/Apple_Inc.
5,/wiki/United_States
6,/wiki/Samsung_Electronics
7,/wiki/South_Korea
8,/wiki/Daimler_AG
9,/wiki/Germany
10,/wiki/Foxconn
11,/wiki/Taiwan
12,/wiki/Ford_Motor_Company
13,/wiki/United_States
14,/wiki/Cardinal_Health
15,/wiki/United_States
16,/wiki/Honda
17,/wiki/Japan
18,/wiki/General_Motors
19,/wiki/United_States
20,/wiki/Mitsubishi
21,/wiki/Japan
22,/wiki/Huawei
23,/wiki/China
24,/wiki/China_Railway_No.5_Engineering_Group
25,/wiki/China
26,/wiki/SAIC_Motor
27,/wiki/China
28,/wiki/BMW
29,/wiki/Germany
30,/wiki/Siemens
31,/wiki/Germany
32,/wiki/General_Electric
33,/wiki/United_States
34,/wiki/Dell
35,/wiki/United_States
36,/wiki/Nestle
37,/wiki/Switzerland
38,/wiki/Nissan_Motor_Company
39,/wiki/Japan
40,/wiki/Hyundai_Motor_Company
41,/wiki/South_Korea
42,/wiki/Enel
43,/wiki/Italy
44,/wiki/FAW_Group
45,/wiki/China
46,/wiki/China_Minmetals
47,/wiki/China
48,/wiki/Robert_Bosch_GmbH
49,/wiki/Germany
50,/wiki/Dongfeng_Motor_Group
51,/wiki/China
52,/wiki/Peugeot
53,/wiki/France
54,/wiki/Johnson_%26_Johnson
55,/wiki/United_States
56,/wiki/Hitachi
57,/wiki/Japan
58,/wiki/Hengli_Group
59,/wiki/China
60,/wiki/Sinochem
61,/wiki/China
62,/wiki/China_Baowu_Steel_Group
63,/wiki/China
64,/wiki/Eni
65,/wiki/Italy
66,/wiki/Airbus
67,/wiki/France
68,/wiki/IBM
69,/wiki/United_States
70,/wiki/Boeing
71,/wiki/United_States
72,/wiki/Sony
73,/wiki/Japan
74,/wiki/Beijing_Automotive_Group
75,/wiki/China
76,/wiki/Intel
77,/wiki/United_States
78,/wiki/BASF
79,/wiki/Germany
80,/wiki/Sinopharm
81,/wiki/China
82,/wiki/ArcelorMittal
83,/wiki/Luxembourg
84,/wiki/Panasonic
85,/wiki/Japan
86,/wiki/Norinco
87,/wiki/China
88,/wiki/Procter_%26_Gamble
89,/wiki/United_States
90,/wiki/PepsiCo
91,/wiki/United_States
92,/wiki/Aviation_Industry_Corporation_of_China
93,/wiki/China
94,/wiki/ChemChina
95,/wiki/China
96,/wiki/Hoffmann-La_Roche
97,/wiki/Switzerland
98,/wiki/DowDuPont
99,/wiki/United_States
100,/wiki/Renault
101,/wiki/France
102,/wiki/Christian_Dior_S.A.
103,/wiki/France
104,/wiki/United_Technologies
105,/wiki/United_States
106,/wiki/Lockheed_Martin
107,/wiki/United_States
108,/wiki/Hewlett-Packard
109,/wiki/United_States
110,/wiki/Unilever
111,/wiki/United_Kingdom
112,/wiki/China_National_Building_Material_Group
113,/wiki/China
114,/wiki/POSCO
115,/wiki/South_Korea
116,/wiki/Nippon_Steel
117,/wiki/Japan
118,/wiki/Caterpillar_(company)
119,/wiki/United_States
120,/wiki/Anheuser-Busch_InBev
121,/wiki/Belgium
122,/wiki/Guangzhou_Automobile_Industry_Group
123,/wiki/China
124,/wiki/LG_Electronics
125,/wiki/South_Korea
126,/wiki/Cisco_Systems
127,/wiki/United_States
128,/wiki/JBS_S.A.
129,/wiki/Brazil
130,/wiki/Bayer
131,/wiki/Germany
132,/wiki/Pfizer
133,/wiki/United_States
134,/wiki/Aluminum_Corporation_of_China
135,/wiki/China
136,/wiki/Hesteel_Group
137,/wiki/China
138,/wiki/Lenovo
139,/wiki/China
140,/wiki/Novartis
141,/wiki/Switzerland
142,/wiki/Kia_Motors
143,/wiki/South_Korea
144,/wiki/Continental_AG
145,/wiki/Germany
146,/wiki/Mitsui
147,/wiki/Japan
148,/wiki/Geely
149,/wiki/China
150,/wiki/Saint-Gobain
151,/wiki/France
152,/wiki/Denso
153,/wiki/Japan
154,/wiki/ThyssenKrupp
155,/wiki/Germany
156,/wiki/Merck_%26_Co.
157,/wiki/United_States
158,/wiki/AB_Volvo
159,/wiki/Sweden
160,/wiki/China_Shipbuilding_Industry_Corporation
161,/wiki/China
162,/wiki/Pegatron
163,/wiki/Taiwan
164,/wiki/Sinomach
165,/wiki/China
166,/wiki/GlaxoSmithKline
167,/wiki/United_Kingdom
168,/wiki/Wilmar_International
169,/wiki/Singapore
170,/wiki/Tyson_Foods
171,/wiki/United_States
172,/wiki/Sanofi
173,/wiki/France
174,/wiki/Bunge_Limited
175,/wiki/United_States
176,/wiki/Mitsubishi_Electric
177,/wiki/Japan
178,/wiki/Jardine_Matheson
179,/wiki/Hong_Kong
180,/wiki/ZF_Friedrichshafen
181,/wiki/Germany
182,/wiki/Shandong_Weiqiao_Pioneering_Group
183,/wiki/China
184,/wiki/SABIC
185,/wiki/Saudi_Arabia
186,/wiki/Mitsubishi_Heavy_Industries
187,/wiki/Japan
188,/wiki/Magna_International
189,/wiki/Canada
190,/wiki/Oracle_Corporation
191,/wiki/United_States
192,/wiki/Tata_Motors
193,/wiki/India
194,/wiki/Honeywell
195,/wiki/United_States
196,/wiki/Fujitsu
197,/wiki/Japan
198,/wiki/China_South_Industries_Group
199,/wiki/China
